Temps(s)	Vx(m/s)	Q (m3/s)	Piston 1		Piston 2	Piston 3	Piston 4	Piston 5	Piston 6
0,0552	-1,091195	-3,08528E-05	0	0	0	0	2,89848E-05	4,08319E-05	1,29049E-05
0,0556	-1,025127	-2,89848E-05	0	0	0	0	2,70024E-05	4,14187E-05	1,54017E-05
0,056	-0,955014	-2,70024E-05	0	0	0	0	2,49134E-05	4,18421E-05	1,78378E-05
0,0564	-0,881131	-2,49134E-05	0	0	0	0	2,27261E-05	4,21003E-05	2,02035E-05
0,0568	-0,803772	-2,27261E-05	0	0	0	0	2,04491E-05	4,21923E-05	2,24894E-05
0,0572	-0,72324	-2,04491E-05	0	0	0	0	1,80914E-05	4,21178E-05	2,46866E-05
0,0576	-0,639853	-1,80914E-05	0	0	0	0	1,56623E-05	4,18772E-05	2,67864E-05
0,058	-0,553942	-1,56623E-05	0	0	0	0	1,31714E-05	4,14712E-05	2,87804E-05
0,0584	-0,465844	-1,31714E-05	0	0	0	0	1,06285E-05	4,09016E-05	3,06609E-05
0,0588	-0,375908	-1,06285E-05	0	0	0	0	8,04374E-06	4,01706E-05	3,24204E-05
0,0592	-0,284489	-8,04374E-06	0	0	0	0	5,42715E-06	3,9281E-05	3,40519E-05
0,0596	-0,191946	-5,42715E-06	0	0	0	0	2,78915E-06	3,82364E-05	3,5549E-05
0,06	-0,098646	-2,78915E-06	0	0	0	0	1,40156E-07	3,70409E-05	3,69059E-05
0,0604	-0,004957	-1,40156E-07	0	0	0	0	0	3,56993E-05	3,81171E-05
0,0608	0,088752	2,5094E-06	2,5094E-06	2,5094E-06	0	0	0	3,42167E-05	3,91778E-05
0,0612	0,18211	5,14904E-06	5,14904E-06	5,14904E-06	0	0	0	3,25991E-05	4,0084E-05
0,0616	0,27475	7,76837E-06	7,76837E-06	7,76837E-06	0	0	0	3,08528E-05	4,08319E-05
0,062	0,366306	1,03571E-05	1,03571E-05	1,03571E-05	0	0	0	2,89848E-05	4,14187E-05
0,0624	0,456416	1,29049E-05	1,29049E-05	1,29049E-05	0	0	0	2,70024E-05	4,18421E-05
0,0628	0,544724	1,54017E-05	1,54017E-05	1,54017E-05	0	0	0	2,49134E-05	4,21003E-05
0,0632	0,630883	1,78378E-05	1,78378E-05	1,78378E-05	0	0	0	2,27261E-05	4,21923E-05
